Slide_code,Family,Subtype,Count
J-143,Grass,Not specified,9
J-143,Plantaginaceae,Plantago ,283
J-137,Asteraceae,Cichorieae,300
J-203,Asteraceae,Cichorieae,96
J-203,Ranunculaceae,Ranunculus,204
J-197,Ranunculaceae,Ranunculus,2
J-197,Plantaginaceae,Plantago ,1
J-197,Asteraceae,Cichorieae,297
J-129,Amaryllidaceae,Not specified,300
J-235,Brassicaceae,Not specified,231
J-235,Asteraceae,Type 1,21
J-235,Caryophyllaceae,Not specified,4
J-235,Plantaginaceae,Plantago ,15
K-261,Unknown 1,Type 1,230
K-153,Unknown 2,Type 2,299
J-243,Asteraceae,Type 1,239
J-243,Ranunculaceae,Ranunculus,61
J-145,Primulaceae,Lysimachia,300
K-146,Unknown 3,Type 3,230
J-116,Asteraceae,Type 1,138
J-116,Ranunculaceae,Ranunculus,91
J-116,Asteraceae,Cichorieae,1
J-256,Asteraceae,Type 1,57
J-256,Ranunculaceae,Ranunculus,123
K-140,Unknown 3,Type 3,300
J-256,Brassicaceae,Not specified,8
J-256,Plantaginaceae,Plantago ,28
J-130,Unknown 4,Type 4,300
J-258,Asteraceae,Type 1,49
J-258,Plantaginaceae,Plantago ,251
J-265,Unknown 4,Type 4,159
J-265,Ranunculaceae,Ranunculus,138
J-265,Caryophyllaceae,Not specified,3
J-210,Plantaginaceae,Plantago ,1
J-210,Ranunculaceae,Ranunculus,1
J-210,Asteraceae,Type 2,3
J-210,Asteraceae,Cichorieae,195
J-231,Rosaceae,Rubus,291
J-231,Caprifoliaceae,Leycesteria,9
J-199,Adoxaceae,Viburnum ,299
J-199,Asteraceae,Cichorieae,1
J-208,Primulaceae,Lysimachia,299
J-208,Ranunculaceae,Ranunculus,1
J-133,Primulaceae,Lysimachia,228
J-133,Asteraceae,Type 1,72
J-267,Asteraceae,Type 1,5
J-267,Ranunculaceae,Ranunculus,295
J-113,Rosaceae,Rubus,188
J-113,Caprifoliaceae,Leycesteria,112
J-164,Rosaceae,Rubus,118
J-164,Brassicaceae,Brassicaceae,182
J-219,Rosaceae,Rubus,299
J-219,Ranunculaceae,Ranunculus,1
J-254,Rosaceae,Rubus,300
J-255,Asteraceae,Type 1,300
J-249,Adoxaceae,Viburnum ,298
J-249,Asteraceae,Cichorieae,2
J-161,Plantaginaceae,Veronica,80
J-161,Ranunculaceae,Ranunculus,219
J-161,Asteraceae,Type 1,1
J-204,Unknown 4,Type 4,81
J-201,Ranunculaceae,Ranunculus,12
K-153,Polygonaceae,Muehlenbeckia,1
J-235,Unknown 5,Type 5,29
K-242,Polygonaceae,Muehlenbeckia,300
K-261,Polygonaceae,Muehlenbeckia,70
J-116,Unknown 6,Type 6,70
J-170,Unknown 6,Type 6,300
K-146,Solanaceae,Solanum,70
J-201,Unknown 6,Type 6,288
J-154,Rosaceae,Type 1,300
J-256,Unknown 7,Type 7,84
J-204,Plantaginaceae,Plantago ,121
J-204,Ranunculaceae,Ranunculus,98
