"","Num_ID","Slide_code","Site","Season","Adoxaceae","Asteraceae","Brassicaceae","Caprifoliaceae","Caryophyllaceae","Cucurbitaceae","Fabaceae","Iridaceae","Lamiaceae","Liliaceae","Myrtaceae","Onagraceae","Plantaginaceae","Polygonaceae","Primulaceae","Ranunculaceae","Rosaceae","Rutaceae","Solanaceae","Tropaeolaceae","Argophyllaceae","Asphodelaceae","Celastraceae","Geraniaceae","Asparagaceae","Boraginaceae","Linaceae","Orobanchaceae","Papaveraceae","Violaceae"
"21","J-77","J-256","JAM","late",1,5,1,4,2,1,5,1,3,1,2,3,5,1,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"22","J-31","J-148","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"23","J-2","J-202","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"24","J-34","J-195","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"25","J-36","J-265","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"26","J-32","J-267","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"27","J-21","J-187","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"28","J-38","J-221","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"29","J-42","J-241","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"30","J-47","J-212","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"31","J-31","J-120","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"32","J-46","J-247","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"33","J-36","J-183","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"34","J-57","J-269","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"35","J-51","J-258","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"36","J-38","J-161","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"37","J-9","J-205","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"38","J-62","J-253","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"39","J-51","J-240","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"40","J-54","J-159","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"41","J-43","J-128","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"42","J-56","J-189","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"43","J-13","J-149","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"44","J-49","J-162","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"45","J-21","J-116","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"46","J-57","J-196","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"47","J-45","J-156","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"48","J-15","J-291","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"49","J-56","J-124","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"50","J-54","J-299","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"51","J-31","J-235","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"52","J-62","J-201","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"53","J-52","J-129","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"54","J-31","J-222","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"55","J-36","J-178","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"56","J-49","J-155","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"57","J-15","J-233","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"58","J-51","J-211","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"59","J-63","J-143","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"60","J-56","J-279","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"61","J-13","J-255","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"62","J-38","J-154","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"63","J-2","J-186","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"64","J-17","J-230","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"65","J-34","J-290","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"66","J-82","J-213","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"67","J-56","J-147","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"68","J-34","J-190","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"69","J-64","J-243","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"70","J-46","J-164","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"71","J-2","J-204","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"72","J-60","J-150","JAM","early/mid",3,5,5,3,4,0,4,0,0,0,2,1,5,0,2,5,3,0,1,0,2,2,3,2,0,0,0,0,0,0
"73","K-6","K-273","KB","early/mid",2,5,4,0,5,0,5,0,0,0,2,3,5,4,4,5,1,0,3,1,0,0,0,0,2,3,4,3,1,4
"74","K-14","K-261","KB","early/mid",2,5,4,0,5,0,5,0,0,0,2,3,5,4,4,5,1,0,3,1,0,0,0,0,2,3,4,3,1,4
"75","K-8","K-266","KB","early/mid",2,5,4,0,5,0,5,0,0,0,2,3,5,4,4,5,1,0,3,1,0,0,0,0,2,3,4,3,1,4
"76","K-18","K-117","KB","early/mid",2,5,4,0,5,0,5,0,0,0,2,3,5,4,4,5,1,0,3,1,0,0,0,0,2,3,4,3,1,4
"77","K-20","K-242","KB","early/mid",2,5,4,0,5,0,5,0,0,0,2,3,5,4,4,5,1,0,3,1,0,0,0,0,2,3,4,3,1,4
"78","K-15","K-146","KB","early/mid",2,5,4,0,5,0,5,0,0,0,2,3,5,4,4,5,1,0,3,1,0,0,0,0,2,3,4,3,1,4
